property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,tulip violet,sector 69,1.4,8861,3,3,2,2,Relatively New,1428.0,0,0,0,1,0,0,102
flat,adani m2k oyster grande,sector 102,1.95,7561,3,4,3,9,Relatively New,2334.0,1,1,0,0,0,2,83
flat,emaar gurgaon greens,sector 102,1.35,8182,3,3,3,5,Relatively New,1315.0,0,1,0,0,0,0,119
flat,sare crescent parc,sector 92,0.51,4080,3,2,2,2,Relatively New,1131.0,0,0,0,0,0,0,72
flat,ansal heights 86,sector 86,0.82,6029,2,2,1,12,New Property,1300.0,0,0,0,0,0,0,49
flat,pioneer urban presidia,sector 62,6.5,14987,4,4,3+,3,Moderately Old,3925.0,1,0,0,0,0,0,86
flat,signature global solera,sector 107,0.28,5680,2,2,2,6,Relatively New,543.0,0,0,0,0,0,0,45
flat,eldeco accolade,sohna road,1.1,7550,3,2,3,13,Relatively New,1319.0,0,0,0,0,0,0,56
flat,orchid petals,sector 49,2.38,11498,3,4,3,1,Relatively New,2061.0,1,0,0,0,0,0,49
flat,awho shanti vihar,sector 95,0.82,9880,2,2,3+,13,New Property,1095.0,1,0,0,0,0,0,114
house,independent,sector 43,6.5,35403,5,4,3+,3,Moderately Old,1836.0,0,1,0,1,0,2,54
flat,suncity avenue 76,sector 76,0.75,10204,2,2,2,11,Under Construction,665.0,0,0,0,0,0,0,57
flat,signature global park,sohna road,0.78,6446,3,3,3,3,Relatively New,1344.0,0,0,0,1,0,0,150
flat,bestech park view sanskruti,sector 92,1.55,7568,3,4,3,16,Relatively New,1805.0,0,1,0,0,0,2,60
house,independent,sector 4,1.25,8681,2,3,0,1,Moderately Old,160.0,0,0,0,0,0,0,0
flat,signature global solera,sector 107,0.36,6569,2,2,1,9,Relatively New,496.0,0,0,0,0,0,0,28
flat,signature global park,sohna road,0.54,7248,2,1,3,1,New Property,828.0,0,0,0,0,0,0,65
flat,paras irene,sector 70a,1.2,8451,2,2,3,6,Moderately Old,1285.0,0,0,0,0,0,0,42
flat,emaar mgf palm studios,sector 66,1.7,13503,2,2,2,7,Relatively New,1072.0,0,0,0,0,1,0,99
flat,krisumi waterfall residences,sector 36a,2.2,14875,2,2,2,23,New Property,1338.0,0,0,0,0,0,0,15
house,independent,sector 57,8.0,29630,5,4,3,2,Relatively New,2700.0,1,1,0,1,0,0,21
flat,breez global heights,sohna road,0.25,7003,1,1,1,1,Relatively New,386.0,0,0,0,0,0,0,57
house,independent,sector 6,0.5,8333,3,3,2,2,Moderately Old,600.0,0,0,0,1,0,0,0
flat,indiabulls enigma,sector 110,4.25,10954,5,5,3+,4,Relatively New,3511.0,0,1,0,0,0,0,101
house,Spaze Privy3.9 ?,sector 72,3.1,8486,5,5,3+,21,Relatively New,3653.0,0,0,0,0,0,0,0
flat,my home,new sector 2,0.28,3167,2,1,1,2,Relatively New,1000.0,0,0,0,0,1,0,15
house,independent,sohna road,1.55,14720,2,3,2,1,New Property,1053.0,1,0,0,1,0,2,49
house,independent,sector 9,0.6,10753,3,3,1,2,Relatively New,558.0,0,0,0,0,0,0,0
flat,antriksh heights,sector 84,0.85,4928,3,3,3+,10,Relatively New,1561.0,1,0,0,0,0,0,52
house,independent,sector 5,3.5,14787,5,4,2,2,Old Property,2367.0,0,0,0,1,1,0,36
flat,godrej frontier,sector 80,1.4,6189,3,4,2,6,Moderately Old,1922.0,0,1,0,1,0,0,111
flat,godrej aria,sector 79,1.45,9062,2,2,3+,9,Relatively New,1494.0,1,0,0,0,0,0,113
flat,new sathi apartments,sector 54,1.59,7067,3,3,3+,3,Moderately Old,2250.0,1,0,0,0,0,2,127
flat,supertech araville,sector 79,0.9,6950,2,2,0,12,Relatively New,1295.0,0,0,0,0,0,0,0
flat,tata primanti,sector 72,3.4,15561,3,4,3+,9,Moderately Old,2185.0,0,1,0,0,0,0,38
flat,emaar mgf the palm drive,sector 66,2.8,16471,3,4,3,8,Relatively New,1700.0,0,1,0,0,0,2,117
flat,supertech araville,sector 79,0.78,6023,2,2,3+,17,Relatively New,1172.0,0,0,0,0,0,0,24
